label,seed,strategy,avg_retr,resp_p50,resp_p95,util,n_down,fails,viol
base:canonical,2036,near,11.45117646439062,136.05427007691378,822.1068011669549,0.5130897530251686,5,0,0
base:canonical,2036,score,11.43842173790876,139.42692459647287,832.5694368277373,0.5123588010811158,5,0,0
base:canonical,2036,awra,10.91210523921502,164.39502911092026,874.1087240153183,0.5123521932450673,5,0,0
base:canonical,2037,seq,21.03444889504304,113.33333333333394,609.4177167825901,0.37728785861376307,4,0,0
base:canonical,2037,near,12.260595942403198,90.41852307045701,659.3570076980759,0.3724512722463233,3,0,0
base:canonical,2037,score,12.127159635812994,86.0531345032723,684.7042886168238,0.3667643501567198,3,0,0
base:canonical,2037,awra,10.272073593119973,73.6111272750777,415.6117460163359,0.37745357265975293,2,0,0
base:canonical,2038,seq,20.067510030022248,136.3993161988219,636.996287710138,0.4553187228273179,2,0,0
base:canonical,2038,near,11.532575022021367,136.26429799596372,888.1032553896396,0.4551450789280439,2,0,0
base:canonical,2038,score,11.12691260154148,120.28680824291587,920.0456532598223,0.4550963485161433,2,0,0
base:canonical,2038,awra,10.751557221873107,148.8989690481576,800.11508450478,0.4549696025766548,2,0,0
base:canonical,2039,seq,21.847444787753698,108.99018758282546,334.1575843649266,0.43857299595585225,2,0,0
base:canonical,2039,near,11.550016589379602,72.51398114490803,218.80435351481538,0.4386613694238042,1,0,0
base:canonical,2039,score,10.945372670813478,70.40952781612214,263.7638706679263,0.438445740971228,1,0,0
base:canonical,2039,awra,11.166087289097948,72.05411131817709,210.36608724965254,0.4384776815457237,1,0,0
base:canonical,2040,seq,21.145694066574958,317.87821866496506,929.1293192227313,0.48980172926757504,2,0,0
base:canonical,2040,near,11.179639272224728,157.43960018717735,823.0740270353499,0.49025828012554645,1,0,0
base:canonical,2040,score,10.479299197512148,152.6234434351627,817.4727311674299,0.49004177788724756,1,0,0
base:canonical,2040,awra,10.716898022384298,146.61887387108504,756.112021168831,0.4902869024168328,1,0,0
base:canonical,2041,seq,19.389807760535646,104.26153656360839,970.1108014483943,0.4646447660674528,3,0,0
base:canonical,2041,near,11.736018923615486,75.05301318898364,451.41240526020965,0.48773289241756657,1,0,0
base:canonical,2041,score,11.701450752316271,77.33333333333303,457.5323313341005,0.48763485113950217,1,0,0
base:canonical,2041,awra,10.741868012335617,72.81664810688108,479.10182996017693,0.4871741365131678,1,0,0
base:canonical,2042,seq,19.645169225097284,144.88906465228092,872.3694847053534,0.45097419083754603,4,0,0
base:canonical,2042,near,10.95450005717615,129.47843826164262,856.2092077771974,0.4448065717923026,3,0,0
base:canonical,2042,score,10.821628186387168,129.57288357730795,856.6520943258339,0.443710827954852,3,0,0
base:canonical,2042,awra,11.261633045948038,132.68094748064505,806.1025540549452,0.44755958012331776,3,0,0
base:canonical,2043,seq,22.010093889056357,406.0429350781096,997.9662730604473,0.47906991497115936,3,0,0
base:canonical,2043,near,11.295166862740256,118.44063734707925,875.7833799471873,0.4786880068647832,2,0,0
base:canonical,2043,score,10.911173945760678,129.74754999926887,881.4370523024727,0.4734154895354639,2,0,0
base:canonical,2043,awra,10.909149673442665,110.36903074585689,859.942199069983,0.4792822904093162,2,0,0
base:canonical,2044,seq,19.446378403077837,132.32883383431727,722.8273998022723,0.4862529869503063,1,0,0
base:canonical,2044,near,12.018069992943435,83.67768786263969,398.0622518774717,0.48521853376417123,0,0,0
base:canonical,2044,score,11.596357750015125,87.77829830403425,393.2964000915904,0.48521175966045527,0,0,0
base:canonical,2044,awra,11.728620359084982,76.55038684806823,483.8001837237357,0.4856288498098077,0,0,0
base:canonical,2045,seq,20.624485523515613,136.23142046207204,964.1379280854744,0.452258523208554,2,0,0
base:canonical,2045,near,11.614501442953117,101.19375930504793,359.6895858473599,0.45175367700027413,2,0,0
base:canonical,2045,score,11.08797321952778,90.32578980614744,300.0785381638839,0.4519896097019261,2,0,0
base:canonical,2045,awra,10.994587847781862,95.80691052730072,332.44417932380384,0.4518871176247131,2,0,0
base:canonical,2046,seq,18.096160388680172,211.96967512592983,1074.5278889342499,0.4823496333205509,1,0,0
base:canonical,2046,near,11.36854502304406,128.19053389805697,744.6985788267448,0.4899005479515801,0,0,0
base:canonical,2046,score,11.298041344126592,126.5046178169323,667.8540372177918,0.49012523569517197,0,0,0
base:canonical,2046,awra,11.297357621593427,101.07141707389837,612.7247789038813,0.4894943706405412,0,0,0
base:canonical,2047,seq,21.98631078797654,380.96050090141944,1528.1864569894828,0.44176619417926927,4,0,0
base:canonical,2047,near,11.55227095445495,199.65075571734724,1452.032351355252,0.4407650995758834,3,0,0
base:canonical,2047,score,11.138162245953406,164.91796544099748,1424.2007247052786,0.4408364786099115,3,0,0
base:canonical,2047,awra,11.044543897090843,145.49520856058916,1344.8926432227224,0.4413143815251341,3,0,0
base:canonical,2048,seq,21.284397083919306,111.0,422.65474516771155,0.4585501236647585,2,0,0
base:canonical,2048,near,11.681656947070346,84.09964429597721,542.0984530042056,0.4593550331137244,1,0,0
base:canonical,2048,score,11.637592587981008,87.83499754829387,542.3751739918457,0.4592508006881205,1,0,0
base:canonical,2048,awra,11.247737639170484,79.83333333333303,582.9730168314877,0.4589034245417975,1,0,0
base:canonical,2049,seq,21.51729872804494,104.99676128648025,229.32593613788322,0.541007675505745,0,0,0
base:canonical,2049,near,11.198584990453664,69.83333333333394,148.96317257721694,0.5409085948496206,0,0,0
base:canonical,2049,score,10.499813084097381,67.0,148.2367126872,0.5411628260759541,0,0,0
base:canonical,2049,awra,11.374833772180935,68.35646997178583,166.50776368891093,0.5426971977264455,0,0,0
base:canonical,2050,seq,21.26871126133889,112.23231281890003,546.04902131988,0.5428966871747365,1,0,0
