n_init,p_store,seed,policy,retr,store,resp,dead,leg
240,0.5,2038,last,49.742,36.56,43.268,0.0,6.308
240,0.5,2038,center,46.977,56.56,51.683,14.869,14.723
240,0.5,2038,demand,53.99,36.56,45.43,7.905,8.469
240,0.5,2038,cog,46.273,51.72,48.948,12.023,11.987
240,0.5,2039,io,50.26,34.561,42.632,6.452,7.337
240,0.5,2039,last,47.472,34.561,41.199,0.0,5.904
240,0.5,2039,center,46.462,54.561,50.397,15.348,15.102
240,0.5,2039,demand,50.26,34.561,42.632,6.452,7.337
240,0.5,2039,cog,45.04,49.884,47.393,12.103,12.098
240,0.5,2040,io,52.328,35.843,44.275,7.238,7.918
240,0.5,2040,last,48.79,35.843,42.465,0.0,6.109
240,0.5,2040,center,46.455,55.843,51.041,14.925,14.684
240,0.5,2040,demand,52.328,35.843,44.275,7.238,7.918
240,0.5,2040,cog,45.568,50.628,48.04,11.66,11.683
240,0.5,2041,io,52.898,36.396,44.794,7.618,8.112
240,0.5,2041,last,49.055,36.396,42.838,0.0,6.156
240,0.5,2041,center,46.572,56.396,51.397,14.837,14.715
240,0.5,2041,demand,52.898,36.396,44.794,7.618,8.112
240,0.5,2041,cog,45.945,52.541,49.184,12.508,12.503
240,0.5,2042,io,54.343,37.409,46.027,7.793,8.302
240,0.5,2042,last,49.108,37.409,43.363,0.0,5.637
240,0.5,2042,center,47.447,57.409,52.34,14.726,14.615
240,0.5,2042,demand,54.343,37.409,46.027,7.793,8.302
240,0.5,2042,cog,46.83,52.891,49.807,12.034,12.081
240,0.5,2043,io,53.6,36.992,45.444,7.55,8.084
240,0.5,2043,last,48.682,36.992,42.941,0.0,5.581
240,0.5,2043,center,47.138,56.992,51.977,14.795,14.617
240,0.5,2043,demand,53.6,36.992,45.444,7.55,8.084
240,0.5,2043,cog,46.625,51.687,49.111,11.72,11.751
240,0.5,2044,io,50.07,34.029,42.213,7.093,7.675
240,0.5,2044,last,45.943,34.029,40.107,0.0,5.569
240,0.5,2044,center,44.358,54.029,49.094,14.73,14.556
240,0.5,2044,demand,50.07,34.029,42.213,7.093,7.675
240,0.5,2044,cog,43.18,48.789,45.927,11.348,11.389
240,0.5,2045,io,53.285,36.741,45.118,7.766,8.151
240,0.5,2045,last,49.165,36.741,43.032,0.0,6.065
240,0.5,2045,center,46.913,56.741,51.765,14.919,14.797
240,0.5,2045,demand,53.285,36.741,45.118,7.766,8.151
240,0.5,2045,cog,46.117,53.121,49.575,12.652,12.608
240,0.5,2046,io,50.197,34.328,42.425,7.066,7.643
240,0.5,2046,last,47.24,34.328,40.916,0.0,6.134
240,0.5,2046,center,45.718,54.328,49.935,15.301,15.153
