theta,variant,seed,swap_n,fam_dist_drop,tot_dual,t_link_avg,avg_retr,exp2_final,fails,viol
1.0,corr_link,2050,291,0.6012,2868.1363,5.4115,11.3846,24.8689,0,0
0.0,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
0.0,corr,2051,290,0.5838,3251.5529,9.2053,11.3993,24.0633,0,0
0.0,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
0.0,corr_link,2051,290,0.5838,3066.9604,7.1514,11.4624,24.5045,0,0
0.5,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
0.5,corr,2051,290,0.5838,3286.0924,8.7714,11.695,23.3059,0,0
0.5,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
0.5,corr_link,2051,290,0.5838,3069.725,6.9627,11.6175,22.3948,0,0
1.0,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
1.0,corr,2051,290,0.5838,3089.146,6.5281,11.8858,23.763,0,0
1.0,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
1.0,corr_link,2051,290,0.5838,2905.7259,5.4178,11.5705,23.3247,0,0
0.0,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
0.0,corr,2052,264,0.6123,3382.0398,9.9012,11.6104,24.0881,0,0
0.0,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
0.0,corr_link,2052,264,0.6123,3093.9062,7.2468,11.6137,23.3499,0,0
0.5,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
0.5,corr,2052,264,0.6123,3332.5858,8.4136,12.0645,24.4414,0,0
0.5,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
0.5,corr_link,2052,264,0.6123,3047.1728,6.8065,11.5084,24.1053,0,0
1.0,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
1.0,corr,2052,264,0.6123,3116.3934,6.9737,11.8935,23.2536,0,0
1.0,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
1.0,corr_link,2052,264,0.6123,3040.9718,6.2525,11.8086,23.8937,0,0
0.0,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
0.0,corr,2053,251,0.6051,3559.2177,10.486,12.2398,24.9757,0,0
0.0,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
0.0,corr_link,2053,251,0.6051,3179.388,7.3577,11.9398,24.5345,0,0
0.5,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
0.5,corr,2053,251,0.6051,3466.6468,8.7584,12.6112,24.5204,0,0
0.5,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
0.5,corr_link,2053,251,0.6051,3118.9876,6.1779,12.129,24.3438,0,0
1.0,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
1.0,corr,2053,251,0.6051,3099.6666,6.2017,12.1504,24.2172,0,0
