scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_skew,2026,random,120,0,4606.0,21.07039298427592,21.9375,7.166666666666667,48077.3,8.850917726762274,4564.0,0.6325,0
L120_skew,2026,seq,120,0,4529.0,18.7290718781678,18.708333333333332,4.333333333333333,44966.60000000002,8.278245181244134,3208.0,0.6325,0
L120_skew,2026,near,120,0,2196.0,9.819255522289541,9.416666666666666,4.041666666666667,21365.0,3.9332461937811813,3240.0,0.6325,0
L120_skew,2026,score,120,0,2240.0,9.399101817581744,8.270833333333334,4.083333333333333,21519.5,3.9616892799941086,3226.0,0.6325,0
L120_skew,2026,awra,120,0,2284.0,6.530693792875833,4.604166666666667,0.5833333333333334,16149.100000000006,2.973011285185663,3216.0,0.6325,0
L120_skew,2026,cb,120,0,3451.0,7.698955656663285,3.4166666666666665,6.25,35507.2,6.536791914431411,3742.0,0.6325,0
L120_skew,2026,tob,120,0,2196.0,5.543082109432093,3.4166666666666665,4.041666666666667,21166.600000000002,3.896721220935583,3240.0,0.6325,0
L120_skew,2027,random,120,0,4148.0,16.595221531892438,15.791666666666666,6.916666666666667,41634.69999999999,7.931325484817308,4412.0,0.6325,0
L120_skew,2027,seq,120,0,4529.0,18.429018638904218,20.4375,4.083333333333333,45233.79999999999,8.61694669867032,3208.0,0.6325,0
L120_skew,2027,near,120,0,2196.0,11.203480701417712,10.520833333333334,4.875,22333.10000000001,4.254410027812703,3240.0,0.6325,0
L120_skew,2027,score,120,0,2284.0,11.054165567203208,10.020833333333334,4.708333333333333,21622.000000000015,4.11894692726788,3216.0,0.6325,0
L120_skew,2027,awra,120,0,2284.0,6.205699618586131,5.25,0.5833333333333334,14889.300000000001,2.8363813007200815,3216.0,0.6325,0
L120_skew,2027,cb,120,0,3343.0,7.169849113632546,3.4166666666666665,4.75,33185.90000000001,6.321846306244521,3766.0,0.6325,0
L120_skew,2027,tob,120,0,2196.0,5.21976875284861,3.4166666666666665,4.083333333333333,21339.800000000003,4.065188402484091,3240.0,0.6325,0
L120_skew,2028,random,120,0,4647.0,20.078504143564032,15.75,7.083333333333333,43959.40000000001,8.97460291535666,4578.0,0.6325,0
L120_skew,2028,seq,120,0,4529.0,20.418641566803785,16.666666666666668,5.291666666666667,43013.99999999999,8.781593238332444,3208.0,0.6325,0
L120_skew,2028,near,120,0,2196.0,7.43127347522804,7.770833333333333,4.208333333333333,19587.399999999998,3.9988975542035834,3240.0,0.6325,0
L120_skew,2028,score,120,0,2504.0,6.8276620163357755,7.354166666666667,3.9166666666666665,19189.6,3.917684047201011,3262.0,0.6325,0
L120_skew,2028,awra,120,0,2548.0,5.82357807190127,8.0625,0.5,13950.900000000001,2.8481687150381765,3288.0,0.6325,0
L120_skew,2028,cb,120,0,3365.0,5.3762594646157496,3.8333333333333335,5.625,30470.99999999999,6.220856641215136,3798.0,0.6325,0
L120_skew,2028,tob,120,0,2196.0,4.03257467358254,3.4166666666666665,4.125,19412.800000000007,3.9632518067861664,3240.0,0.6325,0
L120_skew,2029,random,120,0,4650.0,21.646568288371366,20.5,8.041666666666666,44727.50000000001,9.258435106603192,4616.0,0.6325,0
L120_skew,2029,seq,120,0,4592.0,14.793107754976555,20.0,5.0,41437.99999999999,8.577520182156904,3240.0,0.6325,0
L120_skew,2029,near,120,0,2196.0,7.85205787410652,8.729166666666666,3.7083333333333335,18228.60000000001,3.7732560546470744,3240.0,0.6325,0
L120_skew,2029,score,120,0,2460.0,7.5599588809468905,7.479166666666667,3.0416666666666665,17310.399999999998,3.5831918857379432,3240.0,0.6325,0
L120_skew,2029,awra,120,0,2460.0,7.028495119514256,7.145833333333333,0.5416666666666666,13241.100000000002,2.74086110536121,3240.0,0.6325,0
L120_skew,2029,cb,120,0,3497.0,6.315223656905701,3.4166666666666665,7.583333333333333,34187.89999999999,7.076774994825085,3864.0,0.6325,0
L120_skew,2029,tob,120,0,2196.0,4.5545788179232956,3.4166666666666665,4.583333333333333,19921.500000000004,4.123680397433245,3240.0,0.6325,0
L120_skew,2030,random,120,0,4351.0,19.325022384461732,19.145833333333332,6.666666666666667,43086.80000000001,8.312138282274871,4388.0,0.6325,0
L120_skew,2030,seq,120,0,4470.0,18.359701081341687,19.229166666666668,5.0,44790.4,8.640790184427814,3180.0,0.6325,0
L120_skew,2030,near,120,0,2196.0,7.468016047937184,8.0625,3.4166666666666665,19967.700000000004,3.8520912107415715,3240.0,0.6325,0
L120_skew,2030,score,120,0,2416.0,6.85379502720573,7.333333333333333,3.2083333333333335,19882.30000000001,3.8356161740875097,3226.0,0.6325,0
L120_skew,2030,awra,120,0,2416.0,6.554428679661129,6.895833333333333,0.4583333333333333,14829.000000000002,2.8607531445327585,3226.0,0.6325,0
L120_skew,2030,cb,120,0,3321.0,5.715777601763205,3.4166666666666665,5.416666666666667,33277.0,6.4196697276024395,3746.0,0.6325,0
L120_skew,2030,tob,120,0,2196.0,4.287442316963976,3.4166666666666665,4.25,20901.899999999998,4.032313450111891,3240.0,0.6325,0
L120_skew,2031,random,120,0,4634.0,23.01495627884381,18.583333333333332,6.333333333333333,48226.999999999985,8.863302212747188,4578.0,0.6325,0
L120_skew,2031,seq,120,0,4470.0,14.948858392033031,18.291666666666668,5.833333333333333,44664.900000000016,8.208648827464536,3180.0,0.6325,0
